ObjectId,Country,Measure,Date,Value
1,World,Andaman Sea,D12/17/1992,-10.34
2,World,Arabian Sea,D12/17/1992,-18.46
3,World,Atlantic Ocean,D12/17/1992,-15.41
4,World,Baltic Sea,D12/17/1992,196.85
5,World,Bay Bengal,D12/17/1992,3.27
6,World,Caribbean Sea,D12/17/1992,-13.58
7,World,Gulf Mexico,D12/17/1992,-3.95
8,World,Indian Ocean,D12/17/1992,-27.63
9,World,Indonesian,D12/17/1992,-3.09
10,World,Mediterranean,D12/17/1992,39.02
11,World,Nino,D12/17/1992,-3.13
12,World,North Pacific,D12/17/1992,19.59
13,World,North Sea,D12/17/1992,44.01
14,World,Pacific Ocean,D12/17/1992,-14.88
15,World,Persian Gulf,D12/17/1992,134.53
16,World,Sea Japan,D12/17/1992,-46.65
17,World,Sea Okhotsk,D12/17/1992,-4.39
18,World,South China,D12/17/1992,-4.6
19,World,Southern Ocean,D12/17/1992,-24.43
20,World,Tropics,D12/17/1992,-19.64
21,World,World,D12/17/1992,-15.95
22,World,Yellow Sea,D12/17/1992,-70.61
23,World,Adriatic Sea,D12/18/1992,9.19
24,World,Bering Sea,D12/18/1992,-5.35
25,World,North Atlantic,D12/18/1992,-0.23
26,World,Andaman Sea,D12/26/1992,-2.64
27,World,Baltic Sea,D12/26/1992,228.05
28,World,Bay Bengal,D12/26/1992,11.67
29,World,Mediterranean,D12/26/1992,-12.98
30,World,North Sea,D12/26/1992,63.31
31,World,Persian Gulf,D12/26/1992,112.23
32,World,Sea Japan,D12/26/1992,-23.05
33,World,Sea Okhotsk,D12/26/1992,-38.09
34,World,South China,D12/26/1992,-15.9
35,World,Arabian Sea,D12/27/1992,8.14
36,World,Atlantic Ocean,D12/27/1992,-10.31
37,World,Bering Sea,D12/27/1992,-30.85
38,World,Caribbean Sea,D12/27/1992,-2.48
39,World,Gulf Mexico,D12/27/1992,-13.75
40,World,Indian Ocean,D12/27/1992,-10.03
41,World,Indonesian,D12/27/1992,3.81
42,World,Nino,D12/27/1992,-8.93
43,World,North Atlantic,D12/27/1992,-0.53
44,World,North Pacific,D12/27/1992,-8.31
45,World,Pacific Ocean,D12/27/1992,-27.18
46,World,Southern Ocean,D12/27/1992,-16.73
47,World,Tropics,D12/27/1992,-22.34
48,World,World,D12/27/1992,-17.65
49,World,Yellow Sea,D12/27/1992,-44.41
50,World,Adriatic Sea,D12/28/1992,-51.91
51,World,Baltic Sea,D01/04/1993,-2.95
52,World,South China,D01/04/1993,-17.5
53,World,Andaman Sea,D01/05/1993,-79.04
54,World,Arabian Sea,D01/05/1993,32.14
55,World,Atlantic Ocean,D01/05/1993,-12.31
56,World,Bay Bengal,D01/05/1993,28.57
57,World,Bering Sea,D01/05/1993,-15.85
58,World,Caribbean Sea,D01/05/1993,-15.08
59,World,Gulf Mexico,D01/05/1993,-25.75
60,World,Indian Ocean,D01/05/1993,5.87
61,World,Indonesian,D01/05/1993,-7.09
62,World,Mediterranean,D01/05/1993,-83.58
63,World,Nino,D01/05/1993,-4.33
64,World,North Atlantic,D01/05/1993,-16.33
65,World,North Pacific,D01/05/1993,-16.71
66,World,North Sea,D01/05/1993,76.81
67,World,Pacific Ocean,D01/05/1993,-24.28
68,World,Sea Japan,D01/05/1993,-4.25
69,World,Sea Okhotsk,D01/05/1993,-41.09
70,World,Southern Ocean,D01/05/1993,-5.13
71,World,Tropics,D01/05/1993,-19.54
72,World,World,D01/05/1993,-14.55
73,World,Adriatic Sea,D01/06/1993,-79.01
74,World,Persian Gulf,D01/06/1993,82.33
75,World,Yellow Sea,D01/06/1993,-37.51
76,World,South China,D01/14/1993,8
77,World,Arabian Sea,D01/15/1993,30.34
78,World,Baltic Sea,D01/15/1993,-2.65
79,World,Bay Bengal,D01/15/1993,-6.43
80,World,Bering Sea,D01/15/1993,-40.95
81,World,Gulf Mexico,D01/15/1993,-18.25
82,World,Indian Ocean,D01/15/1993,1.87
83,World,Indonesian,D01/15/1993,-19.09
84,World,Mediterranean,D01/15/1993,-49.68
85,World,Nino,D01/15/1993,-7.03
86,World,North Pacific,D01/15/1993,-43.51
87,World,North Sea,D01/15/1993,229.71
88,World,Pacific Ocean,D01/15/1993,-33.18
89,World,Persian Gulf,D01/15/1993,-52.87
90,World,Sea Japan,D01/15/1993,1.55
91,World,Sea Okhotsk,D01/15/1993,-31.49
92,World,Southern Ocean,D01/15/1993,-10.33
93,World,Tropics,D01/15/1993,-22.74
94,World,World,D01/15/1993,-19.55
95,World,Yellow Sea,D01/15/1993,-58.61
96,World,Adriatic Sea,D01/16/1993,-52.71
97,World,Andaman Sea,D01/16/1993,-114.94
98,World,Atlantic Ocean,D01/16/1993,-9.91
99,World,Caribbean Sea,D01/16/1993,-7.68
100,World,North Atlantic,D01/16/1993,-8.43
101,World,Arabian Sea,D01/24/1993,8.64
102,World,Baltic Sea,D01/24/1993,379.85
103,World,Bay Bengal,D01/24/1993,-30.23
104,World,Bering Sea,D01/24/1993,-57.35
105,World,South China,D01/24/1993,12.3
106,World,Andaman Sea,D01/25/1993,-105.74
107,World,Atlantic Ocean,D01/25/1993,-19.11
108,World,Caribbean Sea,D01/25/1993,-13.98
109,World,Gulf Mexico,D01/25/1993,-28.65
110,World,Indian Ocean,D01/25/1993,-8.43
111,World,Indonesian,D01/25/1993,-8.39
112,World,Mediterranean,D01/25/1993,-90.98
113,World,Nino,D01/25/1993,-11.83
114,World,North Atlantic,D01/25/1993,-35.63
115,World,North Pacific,D01/25/1993,-61.21
116,World,North Sea,D01/25/1993,145.11
117,World,Pacific Ocean,D01/25/1993,-33.88
118,World,Persian Gulf,D01/25/1993,-74.97
119,World,Sea Japan,D01/25/1993,-96.45
120,World,Sea Okhotsk,D01/25/1993,-35.39
121,World,Southern Ocean,D01/25/1993,-13.03
122,World,Tropics,D01/25/1993,-24.84
123,World,World,D01/25/1993,-24.95
124,World,Adriatic Sea,D01/26/1993,-118.91
125,World,Yellow Sea,D01/26/1993,-96.11
126,World,Baltic Sea,D02/04/1993,495.15
127,World,North Sea,D02/04/1993,81.41
128,World,Adriatic Sea,D02/05/1993,-85.81
129,World,Andaman Sea,D02/05/1993,-158.54
130,World,Arabian Sea,D02/05/1993,-4.06
131,World,Atlantic Ocean,D02/05/1993,-23.01
132,World,Bay Bengal,D02/05/1993,-41.63
133,World,Bering Sea,D02/05/1993,-7.45
134,World,Gulf Mexico,D02/05/1993,-18.65
135,World,Indian Ocean,D02/05/1993,-19.73
136,World,Indonesian,D02/05/1993,24.81
137,World,Mediterranean,D02/05/1993,-66.28
138,World,Nino,D02/05/1993,-18.03
139,World,North Atlantic,D02/05/1993,-35.73
140,World,North Pacific,D02/05/1993,-82.41
141,World,Pacific Ocean,D02/05/1993,-35.68
142,World,Persian Gulf,D02/05/1993,-31.37
143,World,Sea Japan,D02/05/1993,-137.05
144,World,Sea Okhotsk,D02/05/1993,-37.39
145,World,South China,D02/05/1993,-17.7
146,World,Southern Ocean,D02/05/1993,-14.03
147,World,Tropics,D02/05/1993,-29.44
148,World,World,D02/05/1993,-29.05
149,World,Yellow Sea,D02/05/1993,-146.51
150,World,Caribbean Sea,D02/06/1993,-35.38
151,World,Arabian Sea,D02/13/1993,8.44
152,World,Baltic Sea,D02/13/1993,317.05
153,World,Bay Bengal,D02/13/1993,-55.83
154,World,Caribbean Sea,D02/13/1993,-35.18
155,World,Indian Ocean,D02/13/1993,-14.23
156,World,Mediterranean,D02/13/1993,-157.88
157,World,North Sea,D02/13/1993,48.81
158,World,Pacific Ocean,D02/13/1993,-29.78
159,World,Sea Okhotsk,D02/13/1993,-15.59
160,World,South China,D02/13/1993,-72.9
161,World,Andaman Sea,D02/14/1993,-190.64
162,World,Atlantic Ocean,D02/14/1993,-25.61
163,World,Bering Sea,D02/14/1993,-3.85
164,World,Gulf Mexico,D02/14/1993,-46.55
165,World,Indonesian,D02/14/1993,9.11
166,World,Nino,D02/14/1993,-20.83
167,World,North Atlantic,D02/14/1993,-37.73
168,World,North Pacific,D02/14/1993,-63.81
169,World,Persian Gulf,D02/14/1993,-100.57
170,World,Sea Japan,D02/14/1993,-122.05
171,World,Southern Ocean,D02/14/1993,-8.63
172,World,Tropics,D02/14/1993,-30.44
173,World,World,D02/14/1993,-27.35
174,World,Yellow Sea,D02/14/1993,-105.01
175,World,Adriatic Sea,D02/15/1993,-188.61
176,World,North Sea,D02/23/1993,6.31
177,World,South China,D02/23/1993,-70.6
178,World,Arabian Sea,D02/24/1993,24.14
179,World,Atlantic Ocean,D02/24/1993,-24.61
180,World,Baltic Sea,D02/24/1993,184.75
181,World,Bay Bengal,D02/24/1993,-56.63
182,World,Bering Sea,D02/24/1993,-17.05
183,World,Gulf Mexico,D02/24/1993,-27.65
184,World,Indian Ocean,D02/24/1993,-3.53
185,World,Indonesian,D02/24/1993,5.01
186,World,Mediterranean,D02/24/1993,-134.68
187,World,Nino,D02/24/1993,-16.83
188,World,North Atlantic,D02/24/1993,-51.83
189,World,North Pacific,D02/24/1993,-57.61
190,World,Pacific Ocean,D02/24/1993,-23.28
191,World,Persian Gulf,D02/24/1993,-70.07
192,World,Sea Japan,D02/24/1993,-73.75
193,World,Sea Okhotsk,D02/24/1993,6.71
194,World,Southern Ocean,D02/24/1993,0.97
195,World,Tropics,D02/24/1993,-23.04
196,World,World,D02/24/1993,-21.55
197,World,Yellow Sea,D02/24/1993,-133.31
198,World,Adriatic Sea,D02/25/1993,-127.81
199,World,Andaman Sea,D02/25/1993,-158.54
200,World,Caribbean Sea,D02/25/1993,-40.38
201,World,Baltic Sea,D03/05/1993,3.25
202,World,North Sea,D03/05/1993,-116.99
203,World,Sea Okhotsk,D03/05/1993,-14.29
204,World,Andaman Sea,D03/06/1993,-171.44
205,World,Arabian Sea,D03/06/1993,26.34
206,World,Atlantic Ocean,D03/06/1993,-23.71
207,World,Bay Bengal,D03/06/1993,-42.13
208,World,Bering Sea,D03/06/1993,-13.05
209,World,Caribbean Sea,D03/06/1993,-55.98
210,World,Gulf Mexico,D03/06/1993,-60.45
211,World,Indian Ocean,D03/06/1993,-7.53
212,World,Indonesian,D03/06/1993,-29.69
213,World,Mediterranean,D03/06/1993,-57.58
214,World,Nino,D03/06/1993,-8.13
215,World,North Atlantic,D03/06/1993,-59.73
216,World,North Pacific,D03/06/1993,-43.21
217,World,Pacific Ocean,D03/06/1993,-16.48
218,World,Persian Gulf,D03/06/1993,14.03
219,World,Sea Japan,D03/06/1993,-84.35
220,World,South China,D03/06/1993,-29.9
221,World,Southern Ocean,D03/06/1993,-0.13
222,World,Tropics,D03/06/1993,-18.64
223,World,World,D03/06/1993,-18.65
224,World,Adriatic Sea,D03/07/1993,-58.21
225,World,Yellow Sea,D03/07/1993,-106.91
226,World,Baltic Sea,D03/15/1993,-122.15
227,World,North Sea,D03/15/1993,36.31
228,World,Andaman Sea,D03/16/1993,-104.04
229,World,Arabian Sea,D03/16/1993,41.84
230,World,Atlantic Ocean,D03/16/1993,-21.61
231,World,Bay Bengal,D03/16/1993,-49.13
232,World,Bering Sea,D03/16/1993,-10.45
233,World,Caribbean Sea,D03/16/1993,-47.98
234,World,Gulf Mexico,D03/16/1993,-91.45
235,World,Indian Ocean,D03/16/1993,-4.83
236,World,Indonesian,D03/16/1993,-30.29
237,World,Mediterranean,D03/16/1993,-74.28
238,World,Nino,D03/16/1993,-7.23
239,World,North Atlantic,D03/16/1993,-55.13
240,World,North Pacific,D03/16/1993,-53.81
241,World,Pacific Ocean,D03/16/1993,-19.68
242,World,Persian Gulf,D03/16/1993,-37.97
243,World,Sea Japan,D03/16/1993,-57.05
244,World,Sea Okhotsk,D03/16/1993,24.31
245,World,South China,D03/16/1993,-66.9
246,World,Southern Ocean,D03/16/1993,2.17
247,World,Tropics,D03/16/1993,-19.54
248,World,World,D03/16/1993,-19.15
249,World,Yellow Sea,D03/16/1993,-48.81
250,World,Adriatic Sea,D03/18/1993,-121.01
251,World,Baltic Sea,D03/25/1993,142.65
252,World,Bay Bengal,D03/25/1993,-54.73
253,World,North Sea,D03/25/1993,28.51
254,World,South China,D03/25/1993,-56.5
255,World,Andaman Sea,D03/26/1993,-114.84
256,World,Arabian Sea,D03/26/1993,26.84
257,World,Atlantic Ocean,D03/26/1993,-34.21
258,World,Bering Sea,D03/26/1993,-29.35
259,World,Caribbean Sea,D03/26/1993,-66.18
260,World,Gulf Mexico,D03/26/1993,-77.25
261,World,Indian Ocean,D03/26/1993,-15.83
262,World,Indonesian,D03/26/1993,-34.59
263,World,Mediterranean,D03/26/1993,-133.98
264,World,Nino,D03/26/1993,-9.93
